date,NO2
2025-07-12,2.8621820547414242e-05
2025-07-13,3.0670449859826476e-05
2025-07-14,3.271907917223871e-05
2025-07-15,3.297448597550101e-05
2025-07-16,3.3229892778763315e-05
2025-07-17,7.760136486467673e-05
2025-07-18,3.616692174546188e-05
2025-07-19,9.908904212352354e-05
2025-07-20,2.8468231903389096e-05
2025-07-21,6.127650431153597e-05
2025-07-22,3.426833154662745e-05
2025-07-23,3.519615438563051e-05
2025-07-24,2.601436108307098e-05
2025-07-25,2.133498810508172e-05
2025-07-26,5.629003135254607e-05
2025-07-27,3.176992504450027e-05
2025-07-28,2.9063618967484217e-05
2025-07-29,3.1685910926171346e-05
2025-07-30,3.4308202884858474e-05
2025-07-31,2.09211489163863e-05
2025-08-01,2.3344883288700657e-05
2025-08-02,1.205266698889318e-05
2025-08-03,2.224475883849664e-05
2025-08-04,5.384494807003648e-05
2025-08-05,4.2381052480777726e-05
2025-08-06,2.706616533032502e-05
2025-08-07,3.32667441398371e-05
2025-08-08,2.4342353299289243e-05
2025-08-09,1.4454216398007702e-05
2025-08-10,1.3543625755119136e-05
2025-08-11,2.865865280909929e-05
2025-08-12,3.447073640927556e-05
2025-08-13,2.9156450182199478e-05
2025-08-14,2.38421639551234e-05
2025-08-15,3.1949787626217585e-05
2025-08-16,2.7964652872469745e-05
2025-08-17,3.1630697776563466e-05
2025-08-18,2.2694612046810413e-05
2025-08-19,1.3758526317057356e-05
2025-08-20,4.8224405873043e-06
2025-08-21,6.414742529159412e-05
2025-08-22,5.01331905979896e-05
2025-08-23,1.7347391576549853e-05
2025-08-24,5.8451032600714825e-05
2025-08-25,6.317444785963744e-05
2025-08-26,4.781494317285251e-05
2025-08-27,4.91514292662032e-05
2025-08-28,5.876791935103635e-05
2025-08-29,4.32929791713832e-05
2025-08-30,3.280335567978909e-05
2025-08-31,2.231373218819499e-05
2025-09-01,2.932380311904126e-05
2025-09-02,2.0576287624862744e-05
2025-09-03,2.3862517537054373e-05
2025-09-04,1.709329308141605e-05
2025-09-05,2.637260604387848e-05
2025-09-06,2.5410162531140187e-05
2025-09-07,2.444771901840189e-05
2025-09-08,2.3485275505663594e-05
2025-09-09,2.25228319929253e-05
2025-09-10,2.1560388480187008e-05
2025-09-11,2.059794496744871e-05
2025-09-12,2.190936356782913e-05
2025-09-13,3.2866659239516594e-05
2025-09-14,2.4171728910005182e-05
2025-09-15,4.658046964323148e-05
2025-09-16,2.1582401586783817e-05
2025-09-17,2.508101965759124e-05
2025-09-18,2.8579637728398662e-05
2025-09-19,1.3379948995861923e-05
2025-09-20,1.90428738733317e-05
2025-09-21,2.885329013224691e-05
2025-09-22,6.753850539098494e-05
2025-09-23,6.167734682094306e-05
2025-09-24,0.0002320594940101728
2025-09-25,2.9034469662292395e-05
2025-09-26,2.619306633278029e-05
2025-09-27,1.5977304883563193e-05
2025-09-28,1.953233004314825e-05
2025-09-29,2.2721606455888832e-05
2025-09-30,2.4188139983986428e-05
2025-10-01,2.565467351208402e-05
2025-10-02,2.7121207040181616e-05
2025-10-03,3.334678967803484e-05
2025-10-04,5.866782430530293e-05
2025-10-05,1.5697173239459516e-05
2025-10-06,2.2906448521098355e-05
2025-10-07,4.353011718194466e-05
2025-10-08,5.282223992253421e-05
2025-10-09,0.00011513230856508017
2025-10-10,5.645584224112099e-05
2025-10-11,1.2314337254792918e-05
2025-10-12,1.51162423662754e-05
2025-10-13,2.1644318053404277e-05
2025-10-14,2.8172393740533156e-05
2025-10-15,2.641614037202089e-05
2025-10-16,2.4824573074511136e-05
2025-10-17,2.8262762953090718e-05
2025-10-18,2.188897678934154e-05
2025-10-19,2.1825158910360187e-05
2025-10-20,2.1672676302841866e-05
2025-10-21,2.152019369532354e-05
2025-10-22,2.136771108780522e-05
2025-10-23,2.1215228480286895e-05
2025-10-24,2.1062745872768573e-05
